id,hidden_layers,architecture,activation,batch_size,solver,learning_rate_init,learning_rate,iterations,train_score,val_score,test_score
0,1,"(100,)",relu,auto,adam,0.001,constant,200,4.168319708580753,4.240333529372263,5.074420668643866
1,3,"(48, 48, 48)",tanh,195,adam,0.001,constant,200,3.919228430326097,4.262237871916641,4.763211641493932
2,3,"(49, 49, 49)",tanh,195,adam,0.001,constant,145,4.020573495588855,4.282417242485361,4.85009283196649
3,3,"(50, 50, 50)",tanh,195,adam,0.001,constant,200,3.8762778432797056,4.273825045607236,4.795122050216554
4,3,"(51, 51, 51)",tanh,195,adam,0.001,constant,134,4.006468120342808,4.208633624795971,4.9089783617586145
5,3,"(52, 52, 52)",tanh,195,adam,0.001,constant,200,3.8935360549139095,4.3804452949319295,4.956518760037088
6,3,"(48, 48, 48)",relu,195,adam,0.001,constant,176,3.78137568810405,4.320390222734534,5.091286616237523
7,3,"(48, 48, 48)",logistic,195,adam,0.001,constant,200,4.376007838564861,4.396212469396921,5.094430015169229
8,3,"(48, 48, 48)",tanh,250,adam,0.001,constant,169,3.968139375867122,4.181253170003559,4.832107667004861
9,3,"(48, 48, 48)",tanh,150,adam,0.001,constant,131,4.016296509355056,4.252451912146824,4.774842275155845
10,3,"(48, 48, 48)",tanh,195,adam,0.0001,constant,200,5.198209257312819,4.6316916059939555,5.945354766627833
11,3,"(48, 48, 48)",tanh,195,adam,0.01,constant,200,2.6180933213322626,4.5163105149326395,5.267008694284955
